,Country,Country Code_x,2010_x,2011_x,2012_x,2013_x,2014_x,beer_servings,spirit_servings,wine_servings,total_litres_of_pure_alcohol,Country Code_y,2010_y,2011_y,2012_y,2013_y,2014_y,Country Code_x,2010_x,2011_x,2012_x,2013_x,2014_x,Country Code_y,2010_y,2011_y,2012_y,2013_y,2014_y
0,albania,ALB,1.653,1.6680000000000001,1.685,1.7,1.71,89,132,54,4.9,ALB,76.652,77.031,77.389,77.702,77.96300000000001,ALB,2913021.0,2905195.0,2900401.0,2895092.0,2889104.0,ALB,25.79999924,27.0,28.29999924,28.70000076,29.20000076
1,united arab emirates,ARE,1.869,1.841,1.82,1.801,1.7830000000000001,16,135,5,2.8,ARE,76.344,76.498,76.648,76.798,76.94800000000001,ARE,8270684.0,8672475.0,8900453.0,9006263.0,9070867.0,ARE,9.800000191,9.800000191,9.800000191,9.899999618999999,10.0
2,argentina,ARG,2.37,2.358,2.347,2.335,2.322,193,25,221,8.3,ARG,75.595,75.76100000000001,75.926,76.089,76.252,ARG,41223889.0,41656879.0,42096739.0,42539925.0,42981515.0,ARG,19.5,18.79999924,18.39999962,19.70000076,21.29999924
3,armenia,ARM,1.693,1.68,1.6640000000000001,1.6480000000000001,1.6340000000000001,21,179,11,3.8,ARM,73.331,73.571,73.814,74.044,74.255,ARM,2877311.0,2875581.0,2881922.0,2893509.0,2906220.0,ARM,38.29999924,38.70000076,35.0,32.5,35.09999847
4,australia,AUS,1.9280000000000002,1.926,1.9169999999999998,1.851,1.821,261,72,212,10.4,AUS,81.69512195,81.89512195,82.04634146,82.14878049,82.3,AUS,22031750.0,22340024.0,22742475.0,23145901.0,23504138.0,AUS,11.39999962,11.39999962,11.69999981,12.19999981,13.10000038
5,austria,AUT,1.44,1.43,1.44,1.44,1.47,279,75,191,9.7,AUT,80.5804878,80.98292683,80.93658537,81.13658537,81.4902439,AUT,8363404.0,8391643.0,8429991.0,8479375.0,8541575.0,AUT,8.800000191,8.199999809,8.699999809,9.100000382000001,9.199999809
6,belgium,BEL,1.86,1.81,1.79,1.75,1.74,295,84,212,10.5,BEL,80.18292683,80.58536585,80.38536585,80.58780488,81.28780488,BEL,10895586.0,11047744.0,11128246.0,11182817.0,11209057.0,BEL,22.5,18.60000038,19.70000076,23.10000038,23.60000038
7,bulgaria,BGR,1.57,1.51,1.5,1.48,1.53,231,252,94,10.3,BGR,73.51219512,74.16341463,74.31463415,74.86097561,74.46585366,BGR,7395599.0,7348328.0,7305888.0,7265115.0,7223938.0,BGR,22.89999962,25.20000076,28.20000076,29.70000076,25.89999962
8,bahrain,BHR,2.164,2.1390000000000002,2.1180000000000003,2.0980000000000003,2.0780000000000003,42,63,7,2.0,BHR,76.056,76.199,76.34100000000001,76.482,76.622,BHR,1240862.0,1278269.0,1300217.0,1315411.0,1336397.0,BHR,10.19999981,11.39999962,10.5,10.60000038,10.89999962
9,belarus,BLR,1.494,1.515,1.62,1.6680000000000001,1.696,142,373,42,14.4,BLR,70.40487805,70.55365854,71.96585366,72.47073171,72.97073171,BLR,9490583.0,9473172.0,9464495.0,9465997.0,9474511.0,BLR,13.19999981,12.5,11.80000019,12.0,12.0
10,belize,BLZ,2.715,2.676,2.642,2.61,2.5780000000000003,263,114,8,6.8,BLZ,69.676,69.73100000000001,69.798,69.895,70.027,BLZ,321608.0,329192.0,336701.0,344181.0,351694.0,BLZ,20.89999962,24.29999924,26.0,22.39999962,22.0
11,brazil,BRA,1.805,1.79,1.777,1.765,1.7530000000000001,245,145,16,7.2,BRA,73.83800000000001,74.17399999999999,74.488,74.777,75.042,BRA,196796269.0,198686688.0,200560983.0,202408632.0,204213133.0,BRA,17.20000076,15.19999981,14.39999962,14.69999981,15.19999981
12,barbados,BRB,1.781,1.785,1.788,1.791,1.794,143,173,36,6.3,BRB,74.973,75.133,75.292,75.44800000000001,75.60300000000001,BRB,279569.0,280601.0,281585.0,282509.0,283385.0,BRB,25.29999924,25.5,26.5,26.20000076,26.79999924
13,canada,CAN,1.6269,1.61,1.6142,1.587,1.5818,240,122,100,8.2,CAN,81.19756098,81.44878049,81.5835122,81.77204878,81.95304878,CAN,34005274.0,34342780.0,34750545.0,35152370.0,35535348.0,CAN,14.80000019,14.10000038,14.30000019,13.80000019,13.39999962
14,switzerland,CHE,1.52,1.52,1.52,1.52,1.54,185,100,280,10.2,CHE,82.24634146,82.69512195,82.69756098,82.79756098,83.19756098,CHE,7824909.0,7912398.0,7996861.0,8089346.0,8188649.0,CHE,7.6999998089999995,7.599999905,8.5,8.800000191,8.699999809
15,chile,CHL,1.879,1.8559999999999999,1.834,1.815,1.798,130,124,172,7.6,CHL,78.454,78.59899999999999,78.758,78.931,79.117,CHL,16993354.0,17153357.0,17309746.0,17462982.0,17613798.0,CHL,18.60000038,17.60000038,16.20000076,16.10000038,16.39999962
16,colombia,COL,2.01,1.9780000000000002,1.9480000000000002,1.921,1.8969999999999998,159,76,3,4.2,COL,73.325,73.5,73.673,73.847,74.02199999999999,COL,45918097.0,46406646.0,46881475.0,47342981.0,47791911.0,COL,24.29999924,23.20000076,20.60000038,16.89999962,18.89999962
17,cabo verde,CPV,2.6660000000000004,2.593,2.528,2.47,2.419,144,56,16,4.0,CPV,71.941,72.01899999999999,72.127,72.259,72.418,CPV,502384.0,508067.0,513979.0,520106.0,526437.0,CPV,18.20000076,18.10000038,18.29999924,18.29999924,18.79999924
18,costa rica,CRI,1.922,1.893,1.8659999999999999,1.841,1.819,149,87,11,4.4,CRI,78.756,78.911,79.077,79.25399999999999,79.44,CRI,4545280.0,4600474.0,4654122.0,4706401.0,4757575.0,CRI,17.0,17.0,18.79999924,19.89999962,19.20000076
19,cuba,CUB,1.639,1.663,1.685,1.702,1.713,93,137,5,4.2,CUB,78.959,79.064,79.167,79.282,79.415,CUB,11333051.0,11354651.0,11382146.0,11412167.0,11439767.0,CUB,6.099999905,6.6999998089999995,6.8000001910000005,6.900000095,7.099999905
20,cyprus,CYP,1.4240000000000002,1.405,1.3880000000000001,1.3730000000000002,1.36,192,154,113,8.2,CYP,79.43,79.62,79.81,79.995,80.173,CYP,1112607.0,1124835.0,1135062.0,1143896.0,1152309.0,CYP,16.0,21.39999962,26.79999924,36.90000153,35.70000076
21,czech republic,CZE,1.51,1.43,1.45,1.46,1.53,361,170,134,11.8,CZE,77.42439024,77.87317073,78.07560976,78.17560976,78.82439024,CZE,10474410.0,10496088.0,10510785.0,10514272.0,10525347.0,CZE,18.5,17.89999962,19.60000038,18.89999962,16.70000076
22,germany,DEU,1.39,1.39,1.41,1.42,1.47,346,117,175,11.3,DEU,79.98780488,80.43658537,80.53902439,80.4902439,81.0902439,DEU,81776930.0,80274983.0,80425823.0,80645605.0,80982500.0,DEU,9.699999809,8.399999618999999,8.100000382000001,7.8000001910000005,7.599999905
23,denmark,DNK,1.87,1.75,1.73,1.67,1.69,224,81,278,10.4,DNK,79.1,79.8,80.05121951,80.3,80.7,DNK,5547683.0,5570572.0,5591572.0,5614932.0,5643475.0,DNK,14.10000038,14.30000019,14.10000038,13.0,12.39999962
24,ecuador,ECU,2.656,2.628,2.5989999999999998,2.571,2.542,162,74,3,4.2,ECU,75.046,75.244,75.449,75.661,75.87899999999999,ECU,14934690.0,15177355.0,15419666.0,15661547.0,15903112.0,ECU,11.30000019,10.69999981,10.89999962,9.800000191,10.80000019
25,spain,ESP,1.37,1.34,1.32,1.27,1.32,284,157,112,10.0,ESP,81.62682927,82.47560976,82.42682927,83.07804878,83.22926829,ESP,46576897.0,46742697.0,46773055.0,46620045.0,46480882.0,ESP,42.5,47.09999847,54.29999924,57.09999847,57.90000153
26,estonia,EST,1.72,1.61,1.56,1.52,1.54,224,194,59,9.5,EST,75.42926829,76.22926829,76.32682927,77.14146341,77.03414634,EST,1331475.0,1327439.0,1322696.0,1317997.0,1314545.0,EST,33.29999924,22.60000038,21.0,18.70000076,17.0
27,finland,FIN,1.87,1.83,1.8,1.75,1.71,263,133,97,10.0,FIN,79.87073171,80.47073171,80.62682927,80.97560976,81.18048780000001,FIN,5363352.0,5388272.0,5413971.0,5438972.0,5461512.0,FIN,20.39999962,18.89999962,17.79999924,19.60000038,19.20000076
28,fiji,FJI,2.6689999999999996,2.641,2.615,2.59,2.565,77,35,1,2.0,FJI,69.267,69.44800000000001,69.625,69.796,69.96,FJI,859950.0,867086.0,873596.0,879715.0,885806.0,FJI,20.10000038,20.10000038,20.20000076,19.60000038,18.60000038
29,france,FRA,2.03,2.01,2.01,1.99,2.01,127,151,370,11.8,FRA,81.66341463,82.11463415,81.96829268,82.2195122,82.67073171,FRA,65027507.0,65342775.0,65659789.0,65998573.0,66331958.5,FRA,22.60000038,21.89999962,23.79999924,23.70000076,23.89999962
30,united kingdom,GBR,1.92,1.91,1.92,1.83,1.81,219,126,195,10.4,GBR,80.40243902,80.95121951,80.90487805,81.00487805,81.30487805,GBR,62766365.0,63258918.0,63700300.0,64128226.0,64613160.0,GBR,19.60000038,20.10000038,21.39999962,20.29999924,16.70000076
31,georgia,GEO,1.9180000000000001,1.954,1.98,1.996,2.003,52,100,149,5.4,GEO,72.649,72.68,72.742,72.832,72.95100000000001,GEO,3926000.0,3875000.0,3825000.0,3776000.0,3727000.0,GEO,36.79999924,36.59999847,33.79999924,35.70000076,34.09999847
32,greece,GRC,1.48,1.4,1.34,1.29,1.3,133,112,218,8.3,GRC,80.38780488,80.73170732,80.63414634,81.28536585,81.38536585,GRC,11121341.0,11104899.0,11045011.0,10965211.0,10892413.0,GRC,32.40000153,44.09999847,54.70000076,58.0,53.90000153
33,guatemala,GTM,3.375,3.292,3.219,3.1510000000000002,3.089,53,69,2,2.2,GTM,71.494,71.867,72.227,72.562,72.869,GTM,14630417.0,14948919.0,15271056.0,15596214.0,15923559.0,GTM,5.6999998089999995,7.400000095,5.599999905,5.6999998089999995,5.400000095
34,guyana,GUY,2.655,2.63,2.6060000000000003,2.582,2.559,93,302,1,7.1,GUY,66.02199999999999,66.117,66.21600000000001,66.318,66.425,GUY,746556.0,749100.0,753091.0,758081.0,763393.0,GUY,23.29999924,22.89999962,23.10000038,23.39999962,23.79999924
35,croatia,HRV,1.55,1.48,1.51,1.46,1.46,230,87,254,10.2,HRV,76.47560976,76.77560976,76.92439024,77.12682927,77.47804878,HRV,4417781.0,4280622.0,4267558.0,4255689.0,4238389.0,HRV,33.5,36.59999847,44.09999847,50.29999924,45.90000153
36,hungary,HUN,1.25,1.23,1.34,1.35,1.44,234,215,185,11.3,HUN,74.20731707,74.85853659,75.06341463,75.56585366,75.76341463,HUN,10000023.0,9971727.0,9920362.0,9893082.0,9866468.0,HUN,26.60000038,26.0,27.89999962,27.0,21.0
37,ireland,IRL,2.05,2.03,2.0,1.96,1.94,313,118,165,11.4,IRL,80.74390244,80.74634146,80.84634146,81.0,81.34878049,IRL,4560155.0,4576794.0,4586897.0,4598294.0,4617225.0,IRL,28.0,29.10000038,30.39999962,26.70000076,25.79999924
38,iceland,ISL,2.2,2.02,2.04,1.93,1.93,233,61,78,6.6,ISL,81.89756098,82.35853659,82.91707317,82.06097561,82.86097561,ISL,318041.0,319014.0,320716.0,323764.0,327386.0,ISL,16.10000038,14.60000038,13.39999962,11.10000038,10.89999962
39,israel,ISR,3.03,2.98,3.05,3.03,3.08,63,69,9,2.5,ISR,81.60243902,81.65609756,81.70487805,82.05609756,82.15365854,ISR,7623600.0,7765800.0,7910500.0,8059500.0,8215700.0,ISR,13.60000038,11.60000038,12.30000019,10.69999981,11.0
40,italy,ITA,1.46,1.44,1.43,1.39,1.37,85,42,237,6.5,ITA,82.03658537,82.18780488,82.23902439,82.6902439,83.0902439,ITA,59277417.0,59379449.0,59539717.0,60233948.0,60789140.0,ITA,27.79999924,29.10000038,35.20000076,39.70000076,44.09999847
41,jamaica,JAM,2.173,2.136,2.102,2.072,2.0469999999999997,82,97,9,3.4,JAM,74.883,75.122,75.334,75.523,75.689,JAM,2817210.0,2829493.0,2840992.0,2851807.0,2862087.0,JAM,30.0,29.5,32.90000153,35.70000076,30.5
42,japan,JPN,1.39,1.39,1.41,1.43,1.42,77,202,16,7.0,JPN,82.84268293,82.59121951,83.09609756,83.33195122,83.58780488,JPN,128070000.0,127833000.0,127629000.0,127445000.0,127276000.0,JPN,9.100000382000001,8.0,7.8000001910000005,6.8000001910000005,6.5
43,kazakhstan,KAZ,2.6,2.59,2.62,2.64,2.74,124,246,12,6.8,KAZ,68.29536585,68.98,69.61,70.45,71.62,KAZ,16321581.0,16556600.0,16791425.0,17035275.0,17289224.0,KAZ,6.0,5.3000001910000005,4.599999905,4.099999905,3.5
44,kuwait,KWT,2.215,2.151,2.094,2.046,2.011,0,0,0,0.0,KWT,73.979,74.096,74.217,74.33800000000001,74.458,KWT,2998083.0,3191051.0,3395556.0,3598385.0,3782450.0,KWT,10.60000038,21.60000038,21.10000038,20.5,19.39999962
45,lithuania,LTU,1.5,1.55,1.6,1.59,1.63,343,244,56,12.9,LTU,73.26829268,73.56341463,73.86341463,73.91463415,74.51707317,LTU,3097282.0,3028115.0,2987773.0,2957689.0,2932367.0,LTU,35.20000076,32.0,26.20000076,21.89999962,21.5
46,luxembourg,LUX,1.63,1.52,1.57,1.55,1.5,236,133,271,11.4,LUX,80.63170732,80.98780488,81.39268293,81.8,82.22926829,LUX,506953.0,518347.0,530946.0,543360.0,556319.0,LUX,14.5,16.79999924,18.5,19.20000076,16.0
47,latvia,LVA,1.36,1.33,1.44,1.52,1.65,281,216,62,10.5,LVA,73.48292683,73.57560976,73.77804878,73.98292683,74.12439024,LVA,2097555.0,2059709.0,2034319.0,2012647.0,1993782.0,LVA,34.90000153,31.0,28.29999924,23.10000038,19.29999924
48,maldives,MDV,2.229,2.221,2.209,2.191,2.165,0,0,0,0.0,MDV,76.112,76.259,76.40100000000001,76.571,76.783,MDV,364511.0,375131.0,386203.0,397397.0,408247.0,MDV,25.39999962,25.5,26.60000038,26.0,26.89999962
49,mexico,MEX,2.3409999999999997,2.318,2.295,2.27,2.2430000000000003,238,68,5,5.5,MEX,76.096,76.251,76.41199999999999,76.579,76.753,MEX,117318941.0,119090017.0,120828307.0,122535969.0,124221600.0,MEX,9.399999618999999,10.0,9.5,9.399999618999999,9.899999618999999
50,malta,MLT,1.36,1.45,1.43,1.38,1.42,149,100,120,6.6,MLT,81.39756098,80.74634146,80.74634146,81.74634146,81.94634146,MLT,414508.0,416268.0,419455.0,423374.0,427364.0,MLT,13.19999981,14.0,14.30000019,14.10000038,13.60000038
51,mongolia,MNG,2.637,2.716,2.7739999999999996,2.805,2.8110000000000004,77,189,8,4.9,MNG,67.383,67.82,68.215,68.558,68.847,MNG,2712650.0,2761516.0,2814226.0,2869107.0,2923896.0,MNG,14.10000038,9.0,9.600000382000001,9.600000382000001,9.300000191
52,mauritius,MUS,1.57,1.55,1.54,1.44,1.43,98,31,18,2.6,MUS,72.96731707,73.26682927,73.86341463,74.01707317,74.19439024,MUS,1250400.0,1252404.0,1255882.0,1258653.0,1260934.0,MUS,23.10000038,21.70000076,23.70000076,21.89999962,21.20000076
53,nicaragua,NIC,2.428,2.383,2.34,2.3,2.2640000000000002,78,118,1,3.5,NIC,73.699,74.016,74.319,74.608,74.884,NIC,5737723.0,5807820.0,5877108.0,5945747.0,6013997.0,NIC,12.30000019,11.60000038,10.60000038,7.6999998089999995,7.599999905
54,netherlands,NLD,1.79,1.76,1.72,1.68,1.71,251,88,190,9.4,NLD,80.70243902,81.20487805,81.10487805,81.30487805,81.70731707,NLD,16615394.0,16693074.0,16754962.0,16804432.0,16865008.0,NLD,8.800000191,7.5,9.5,11.0,11.10000038
55,norway,NOR,1.95,1.88,1.85,1.78,1.75,169,71,129,6.7,NOR,80.99756098,81.29512195,81.45121951,81.75121951,82.1,NOR,4889252.0,4953088.0,5018573.0,5079623.0,5137232.0,NOR,9.199999809,8.699999809,8.600000382000001,9.100000382000001,8.399999618999999
56,new zealand,NZL,2.17,2.09,2.1,2.01,1.92,203,79,175,9.3,NZL,80.70243902,80.90487805,81.15609756,81.40731707,81.40487805,NZL,4350700.0,4384000.0,4408100.0,4442100.0,4509700.0,NZL,17.0,17.20000076,17.70000076,15.80000019,14.60000038
57,oman,OMN,2.9010000000000002,2.8960000000000004,2.878,2.846,2.799,22,16,1,0.7,OMN,75.694,75.922,76.141,76.358,76.578,OMN,3041460.0,3237268.0,3464644.0,3711481.0,3960925.0,OMN,19.29999924,19.0,18.79999924,18.60000038,18.79999924
58,panama,PAN,2.622,2.613,2.6010000000000004,2.585,2.565,285,104,18,7.2,PAN,76.828,77.021,77.21600000000001,77.413,77.61,PAN,3643222.0,3707782.0,3772938.0,3838462.0,3903986.0,PAN,14.89999962,11.89999962,10.0,10.10000038,11.0
59,philippines,PHL,3.158,3.109,3.0669999999999997,3.028,2.992,71,186,1,4.6,PHL,68.32,68.433,68.553,68.68,68.813,PHL,93726624.0,95277940.0,96866642.0,98481032.0,100102249.0,PHL,16.79999924,16.10000038,16.39999962,16.60000038,16.39999962
60,poland,POL,1.41,1.33,1.33,1.29,1.32,343,215,56,10.9,POL,76.24634146,76.69512195,76.74634146,77.0,77.60243902,POL,38042794.0,38063255.0,38063164.0,38040196.0,38011735.0,POL,23.39999962,25.5,26.39999962,27.20000076,24.0
61,portugal,PRT,1.39,1.35,1.28,1.21,1.23,194,67,339,11.0,PRT,79.02682927,80.47073171,80.37317073,80.72195122,81.12195122,PRT,10573100.0,10557560.0,10514844.0,10457295.0,10401062.0,PRT,22.29999924,30.0,37.59999847,37.79999924,36.79999924
62,paraguay,PRY,2.73,2.675,2.625,2.5810000000000004,2.542,213,117,74,7.3,PRY,72.285,72.47,72.638,72.786,72.913,PRY,6209877.0,6293783.0,6379219.0,6465740.0,6552584.0,PRY,11.89999962,10.19999981,10.39999962,10.5,9.300000191
63,qatar,QAT,2.07,2.0269999999999997,1.9969999999999999,1.972,1.95,1,42,7,0.9,QAT,77.301,77.443,77.59,77.73899999999999,77.888,QAT,1779676.0,1952054.0,2109568.0,2250473.0,2374419.0,QAT,1.5,1.7000000480000002,1.600000024,1.200000048,1.299999952
64,romania,ROU,1.59,1.47,1.52,1.46,1.52,297,122,167,10.4,ROU,73.45853659,74.4097561,74.41219512,75.06341463,74.96097561,ROU,20246871.0,20147528.0,20058035.0,19983693.0,19908979.0,ROU,22.29999924,23.89999962,22.79999924,23.79999924,25.10000038
65,russian federation,RUS,1.567,1.5819999999999999,1.6909999999999998,1.7069999999999999,1.75,247,326,73,11.5,RUS,68.84121951,69.68390244,70.07219512,70.57878049,70.74365854,RUS,142849449.0,142960868.0,143201676.0,143506911.0,143819666.0,RUS,16.79999924,15.30000019,15.0,14.10000038,12.89999962
66,singapore,SGP,1.15,1.2,1.29,1.19,1.25,60,12,11,1.5,SGP,81.54146341,81.74390244,81.99512195,82.24634146,82.49512195,SGP,5076732.0,5183688.0,5312437.0,5399162.0,5469724.0,SGP,9.899999618999999,9.199999809,9.0,9.0,9.600000382000001
67,el salvador,SLV,2.265,2.224,2.187,2.155,2.126,52,69,2,2.2,SLV,71.902,72.195,72.479,72.753,73.015,SLV,6164626.0,6192560.0,6221246.0,6250777.0,6281189.0,SLV,13.0,12.0,11.89999962,11.19999981,11.69999981
68,serbia,SRB,1.4,1.4,1.45,1.43,1.46,283,131,127,9.6,SRB,74.33658537,74.53658537,74.83658537,75.18536585,75.33658537,SRB,7291436.0,7234099.0,7199077.0,7164132.0,7130576.0,SRB,45.5,50.40000153,50.59999847,49.70000076,49.5
69,suriname,SUR,2.52,2.495,2.47,2.445,2.421,128,178,7,5.6,SUR,70.335,70.578,70.79,70.976,71.138,SUR,526103.0,531589.0,537077.0,542540.0,547928.0,SUR,20.70000076,19.0,17.39999962,15.5,17.89999962
70,slovenia,SVN,1.57,1.56,1.58,1.55,1.58,270,51,276,10.6,SVN,79.42195122,79.97073171,80.12439024,80.32195122,81.07804878,SVN,2048583.0,2052843.0,2057159.0,2059953.0,2061980.0,SVN,14.60000038,15.80000019,20.60000038,22.79999924,20.79999924
71,sweden,SWE,1.98,1.9,1.91,1.89,1.88,152,60,186,7.2,SWE,81.45121951,81.80243902,81.70487805,81.95609756,82.25365854,SWE,9378126.0,9449213.0,9519374.0,9600379.0,9696110.0,SWE,25.20000076,23.20000076,24.20000076,23.79999924,22.79999924
72,thailand,THA,1.547,1.5419999999999998,1.534,1.524,1.5119999999999998,99,258,1,6.4,THA,73.923,74.197,74.446,74.678,74.895,THA,67208808.0,67530130.0,67843979.0,68143065.0,68416772.0,THA,4.0,2.900000095,3.099999905,3.200000048,3.900000095
73,turkmenistan,TKM,2.833,2.892,2.9360000000000004,2.958,2.9560000000000004,19,71,32,2.2,TKM,66.657,66.928,67.167,67.375,67.55199999999999,TKM,5087210.0,5174061.0,5267839.0,5366277.0,5466241.0,TKM,20.60000038,21.0,20.70000076,20.60000038,20.20000076
74,turkey,TUR,2.155,2.1390000000000002,2.124,2.108,2.09,51,22,7,1.4,TUR,74.154,74.437,74.711,74.977,75.23899999999999,TUR,72326914.0,73409455.0,74569867.0,75787333.0,77030628.0,TUR,21.20000076,17.89999962,17.10000038,16.5,17.70000076
75,ukraine,UKR,1.443,1.459,1.531,1.506,1.4980000000000002,206,237,45,8.9,UKR,70.26536585,70.80926829,70.94414634,71.1595122,71.18658537,UKR,45870700.0,45706100.0,45593300.0,45489600.0,45271947.0,UKR,17.39999962,19.0,17.29999924,16.0,16.89999962
76,uruguay,URY,2.0780000000000003,2.063,2.048,2.033,2.019,115,35,220,6.6,URY,76.58800000000001,76.73899999999999,76.89,77.04,77.19,URY,3374415.0,3385624.0,3396777.0,3408005.0,3419546.0,URY,20.79999924,17.89999962,18.5,18.10000038,19.10000038
77,uzbekistan,UZB,2.342,2.2359999999999998,2.193,2.35,2.457,25,101,8,2.4,UZB,70.005,70.322,70.604,70.844,71.039,UZB,28562400.0,29339400.0,29774500.0,30243200.0,30757700.0,UZB,20.60000038,20.60000038,20.60000038,20.5,20.29999924
78,south africa,ZAF,2.588,2.572,2.5540000000000003,2.533,2.51,225,76,81,8.2,ZAF,55.888000000000005,57.201,58.545,59.83,60.993,ZAF,51584663.0,52263516.0,52998213.0,53767396.0,54539571.0,ZAF,50.79999924,50.09999847,52.20000076,51.40000153,52.59999847
