Country,15-24 years,25-34 years,35-54 years,5-14 years,55-74 years,75+ years,Grand Total
Albania,5.86,8.28,8.42,0.89,11.17,7.04,41.66
Argentina,24.24,18.13,15.7,1.5,17.57,34.1,111.24
Armenia,3.91,5.35,5.5,2.24,9.49,13.92,40.41
Aruba,0,0,25.74,0,32.91,0,58.65
Australia,18.97,25.31,33.8,0.79,22.49,31.28,132.64
Austria,20.35,20.29,32.97,0.7,43.99,89.25,207.55
Bahamas,9.42,0,7.84,0,8.7,32.36,58.32
Bahrain,1.24,3.51,4.76,0,2.38,0,11.89
Barbados,0,0,7.62,0,0,0,7.62
Belarus,39.74,61.16,73.97,1.31,69.12,86.68,331.98
Belgium,19.71,33.63,55.15,1.48,47.78,62.43,220.18
Belize,6.18,16.63,21.36,0,17.31,0,61.48
Brazil,9.4,13.13,13.76,0.61,14.12,21.71,72.73
Bulgaria,9.29,12.11,24.46,0.3,34.72,77.37,158.25
Canada,20.86,23.87,33.36,1.7,27.45,25.43,132.67
Chile,28.3,30,32.44,2.16,26.92,43.06,162.88
Colombia,15.73,13.57,9.39,1.95,10.22,16.38,67.24
Costa Rica,11.99,23.21,20.94,1.29,14.83,12.09,84.35
Croatia,19.63,16.19,37.87,0.45,60.39,107.44,241.97
Cuba,10.53,16.83,30.59,1.63,52.57,89.98,202.13
Cyprus,10.61,10.75,11.75,0,10.52,15.25,58.88
Czech Republic,17.29,22.8,37.57,0.21,41.65,56.1,175.62
Denmark,7.87,14.87,26.18,0,31.98,49.12,130.02
Ecuador,23,19.58,12.4,2.91,11.88,11.72,81.49
El Salvador,20.66,27.15,15.83,1.21,16.1,16.97,97.92
Estonia,24.29,34.57,38.8,0,52.95,78.46,229.07
Finland,40.48,45,44.49,0.33,42.84,42.07,215.21
France,12.84,25.55,48.89,1.03,44.71,78.15,211.17
Georgia,3.13,4.74,5.67,0.39,10.42,9.98,34.33
Germany,13.02,18.56,27,0.73,33.71,59.15,152.17
Greece,3.15,7.04,8.43,0,8.14,13.14,39.9
Grenada,0,0,0,0,0,0,0
Guatemala,8.72,8.91,7.16,0.68,5.52,4.44,35.43
Guyana,70.19,75.46,99.02,8.37,47.68,102.35,403.07
Hungary,15.42,29.27,68.14,0.61,84.46,123.41,321.31
Iceland,29.47,38.31,37,4.56,37.1,37.83,184.27
Ireland,25.9,23.96,31.7,2.01,23.34,13.39,120.3
Israel,12.22,15.33,17.66,0.74,21.82,31.7,99.47
Italy,5.67,11.05,15.01,0.38,18.65,30.01,80.77
Jamaica,0,0.49,0.3,0.37,0,0,1.16
Japan,29.24,45.87,57.24,1.1,61.95,60.08,255.48
Kazakhstan,46.39,72.18,62.05,6.2,55.69,78.3,320.81
Kuwait,1.25,4.37,1.95,0,2.47,0,10.04
Kyrgyzstan,21.2,32.38,26.19,2.31,24.62,36.5,143.2
Latvia,25.89,42.01,59.44,0,66.44,65.56,259.34
Lithuania,47.21,61.14,98.22,1.27,96.44,90.96,395.24
Luxembourg,9.75,13.75,36.23,3.2,17.34,60.89,141.16
Maldives,1.99,0,0,0,0,0,1.99
Malta,10.27,9.54,30.13,0,12.59,19.58,82.11
Mauritius,17,26.45,19.74,0,16.66,31.98,111.83
Mexico,12.83,11.48,10.74,1.54,10.1,14.32,61.01
Netherlands,11.98,16.76,28.5,0.59,26.61,25.05,109.49
New Zealand,34.83,34.38,34.25,2.07,22.43,24.66,152.62
Nicaragua,19.05,20.17,16.91,1.93,13.18,17.5,88.74
Norway,22.33,27.13,28.7,0.32,30.61,27.34,136.43
Oman,1.07,0.41,1.3,0,1.02,0,3.8
Panama,10.4,14.05,11.56,0,8.97,19.02,64
Paraguay,12.98,9.02,9.06,0.74,8.98,13.78,54.56
Philippines,7.83,6.94,5.67,0.5,5.62,10.4,36.96
Poland,22.1,28.09,49.33,0.83,52.99,37.3,190.64
Portugal,6.69,11.6,21.67,0.37,31.29,77.22,148.84
Puerto Rico,7.58,16.33,25.89,0,24.49,29.55,103.84
Qatar,4.22,5.17,3.44,0,0,0,12.83
Republic of Korea,25.91,58.93,67.4,2.1,109.85,254.01,518.2
Romania,14.49,17.34,37.57,1.47,42.89,36.28,150.04
Russian Federation,44.75,64.88,59.75,2.83,54.34,92.66,319.21
Saint Lucia,6.38,0,4.41,0,19.52,0,30.31
Saint Vincent and Grenadines,0,44.79,0,10.04,0,0,54.83
Serbia,7.74,18.35,32,0,56.28,120.11,234.48
Seychelles,0,23.56,28.43,0,0,0,51.99
Singapore,7.85,11.33,20.43,0.42,23.71,65.49,129.23
Slovakia,12.48,17.86,35.69,1.79,35.1,40.76,143.68
Slovenia,21.53,23.32,46.78,2.1,64.08,107.78,265.59
South Africa,1.71,2.76,2.07,0.19,1.99,4.37,13.09
Spain,5.01,8.94,17.53,0.13,19.51,36.32,87.44
Suriname,59.23,66.28,79.3,12.03,49.15,159.31,425.3
Sweden,18.71,23.36,30.08,0.6,35.05,38.74,146.54
Switzerland,13.24,20.41,30.63,0.49,39.04,56.71,160.52
Thailand,10.44,16.13,15.24,0.69,16.01,21.99,80.5
Trinidad and Tobago,23.61,40.31,30.85,2.25,26.16,27.32,150.5
Turkey,5.26,4.89,5.46,0.81,5.5,9.77,31.69
Turkmenistan,11.59,11.65,7.76,1.46,6.51,6.78,45.75
Ukraine,30.7,45.4,52.6,2.41,55.43,76.53,263.07
United Arab Emirates,2.93,4.1,1.6,0,4.62,9.46,22.71
United Kingdom,10.79,15.74,21.35,0.12,14.81,14.6,77.41
United States,20.67,28.17,35.93,1.31,33.17,39.64,158.89
Uruguay,30.62,40.14,33.75,1.58,54.87,96.47,257.43
Uzbekistan,14.38,13.78,14.83,2.88,11.22,6.14,63.23
Grand Total,1403.38,1906.23,2398.29,114.2,2436.9,3584.99,11843.99